Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,405,277,32990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1320,268,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Silver,4.7,703,293,84990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Blue,4.3,450,124,33990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.3,1933,215,39990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Grey,4,373,335,42990
DELL,DELL Inspiron,AMD Ryzen 5,11th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,250,288,35990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,1217,165,49990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.2,1104,141,52990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.1,889,292,49690
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Black,4.3,440,263,32990
DELL,DELL Inspiron,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.2,1852,348,43800
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.3,765,175,44990
MSI,MSI Thin,Intel Celeron Dual,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,691,236,47990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,392,263,32990
Lenovo,Lenovo IdeaPad Slim,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,100.63,2,Blue,4.2,1464,332,36990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,782,319,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,2,Grey,4.3,476,137,40990
HP,HP Victus Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1586,260,58990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Silver,4.3,1902,269,36990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,1198,160,39990
HP,HP Victus Intel Core i,Intel Core i7,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.3,1575,273,65990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Black,4.3,709,188,33990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Grey,4.3,1674,288,33990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.4,800,117,55990
MSI,MSI Thin,Intel Core i3,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,642,169,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.5,1094,181,75990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,1480,215,67990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,459,179,36990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Silver,4.2,1388,114,49990
MSI,MSI Crosshair,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Silver,4.1,895,275,140990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,1524,299,49990
HP,HP Intel Core i,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.2,468,112,53990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.2,656,218,29990
Acer,Acer One Intel Core i,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.2,1716,142,28990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.1,1876,287,49690
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.3,1627,156,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Silver,4.3,1137,298,59990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Metallic Black,4.7,807,116,84990
SAMSUNG,SAMSUNG Galaxy Book,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.5,799,277,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Grey,4.3,391,131,32990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.3,861,249,47990
HP,HP,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,750,154,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,1,Metallic Black,4.3,1089,342,34990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1820,112,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.3,1932,146,36990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1815,186,32990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1780,161,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Blue,4.7,845,281,84990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Black,4.3,530,128,33990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,673,121,39990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Blue,4,1105,164,42990
DELL,DELL Inspiron,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,519,128,35990
HP,HP Backlit Intel Core i,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,403,147,49990
ASUS,ASUS Vivobook,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.2,863,104,52990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.1,2000,349,49690
MSI,MSI Modern,Intel Celeron Dual,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,911,262,32990
DELL,DELL Inspiron,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,332,346,43800
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.3,1895,301,44990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,1196,310,47990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Silver,4.3,1148,200,36990
Lenovo,Lenovo IdeaPad Slim,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Blue,4.2,1699,170,36990
ASUS,ASUS Vivobook,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.2,1548,273,47990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Metallic Black,4.3,1986,262,40990
HP,HP Victus Intel Core i,Intel Core i7,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,533,272,58990
MSI,MSI Modern,Intel Core i7,14th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1229,240,32990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.3,422,237,33990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.3,1600,165,65990
MSI,MSI Modern,Intel Core i3,11th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.3,1336,171,36990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,1346,327,39990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.4,1012,124,55990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.3,1909,271,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.5,1648,159,75990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,882,274,67990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.3,1781,139,33990
MSI,MSI Thin,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,1,39.62,1,Black,4,1036,106,64990
MSI,MSI Crosshair,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Grey,4.1,1192,273,140990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.3,1261,250,49990
HP,HP Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.2,647,310,53990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.2,1393,145,29990
Acer,Acer One Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.2,1183,185,28990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.1,1710,240,49690
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,925,120,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Black,4.3,1185,100,59990
Apple,Apple MacBook AIR Apple M,Intel Core i3,12th Gen,Mac OS Operating System,8 GB,256,34.54,2,Grey,4.7,714,222,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.5,535,246,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.3,514,224,32990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.3,569,287,47990
HP,HP,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,922,132,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,1,Grey,4.3,1649,103,34990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,338,102,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.3,1927,190,36990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1476,151,32990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,1070,332,47990
Apple,Apple MacBook AIR Apple M,Intel Core i3,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Metallic Black,4.7,1250,326,84990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Silver,4.3,583,127,33990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Grey,4.3,471,169,39990
Acer,Acer Aspire,AMD Ryzen 5,11th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,2,Blue,4,290,297,42990
DELL,DELL Inspiron,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,1981,282,35990
HP,HP Backlit Intel Core i,Intel Celeron Dual,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,317,156,49990
ASUS,ASUS Vivobook,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.2,1237,207,52990
MSI,MSI Katana,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,39.62,2,Black,4.2,763,314,102990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Black,4.1,1910,324,49690
DELL,DELL Inspiron,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,1895,243,43800
MSI,MSI Modern,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.3,1871,123,44990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.3,1905,296,32990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.3,1400,268,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i7,12th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Silver,4.2,1528,333,36990
ASUS,ASUS Vivobook,Intel Core i7,14th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,944,176,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Black,4.3,1289,274,40990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.4,726,175,58990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.3,1335,168,36990
MSI,MSI Modern,Intel Core i3,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1130,200,32990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.3,681,258,65990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.3,517,191,33990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,1308,129,39990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Black,4.4,1028,117,55990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,1849,143,49990
SAMSUNG,SAMSUNG Galaxy Book,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.5,743,254,75990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1835,198,67990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.3,1742,253,36990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.3,910,220,33990
Lenovo,Lenovo IdeaPad Slim,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Metallic Black,4.1,1598,330,49690
MSI,MSI Crosshair,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Black,4.1,1577,340,140990
HP,HP Intel Core i,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.2,1549,214,53990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.2,1957,159,29990
Acer,Acer One Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.2,1262,245,28990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.3,1474,324,49990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.3,1718,316,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.3,1597,155,59990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Grey,4.7,1308,130,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.5,1226,200,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.3,731,158,32990
MSI,MSI Thin,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,977,223,47990
HP,HP,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,729,229,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,2,Metallic Black,4.3,1338,196,34990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.4,1574,288,61990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,592,334,32990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.3,1704,206,36990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1697,290,47990
Apple,Apple MacBook AIR Apple M,AMD Ryzen 5,11th Gen,Mac OS Operating System,8 GB,256,34.54,1,Grey,4.7,581,323,84990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.3,687,117,39990
MSI,MSI Modern,Intel Celeron Dual,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Silver,4.2,1861,244,49990
Acer,Acer Aspire,AMD Ryzen 5,11th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Blue,4,423,325,42990
DELL,DELL Inspiron,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,808,266,35990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,776,170,49990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.2,908,205,52990
MSI,MSI Thin,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.3,275,153,49990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.3,1069,344,32990
DELL,DELL Inspiron,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,854,326,43800
MSI,MSI Modern,Intel Core i7,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.3,655,193,44990
MSI,MSI Thin,Intel Core i7,14th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.3,481,175,47990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Black,4.3,782,134,36990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,100.63,2,Grey,4.2,1823,110,36990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,754,160,47990
ASUS,ASUS Vivobook,Intel Core i3,11th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Silver,4.3,1942,143,40990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.4,428,220,58990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Black,4.2,381,167,32990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Blue,4.3,1728,124,33990
HP,HP Victus Intel Core i,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.3,597,275,65990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,1021,183,36990
MSI,MSI Modern,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Silver,4.3,1679,213,39990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.4,325,322,55990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.5,828,231,75990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,1103,345,67990
ASUS,ASUS TUF Gaming F,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,43.94,1,Black,4.3,1765,265,57990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,443,344,33990
MSI,MSI Thin,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,1,39.62,2,Grey,4,1435,290,64990
MSI,MSI Crosshair,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Blue,4.1,596,274,140990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,1200,100,49990
HP,HP Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.2,1634,230,53990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.2,1857,328,29990
Acer,Acer One Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.2,1360,185,28990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Blue,4.1,1535,161,49690
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.3,463,163,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,1938,244,59990
Apple,Apple MacBook AIR Apple M,AMD Ryzen 5,11th Gen,Mac OS Operating System,8 GB,256,34.54,2,Metallic Black,4.7,1995,225,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.5,822,305,61990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,1029,204,32990
MSI,MSI Thin,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.3,511,161,47990
HP,HP,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.2,979,134,32490
HP,HP,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,100.58,2,Metallic Black,4.3,532,349,34990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,1740,262,61990
MSI,MSI Modern,AMD Ryzen 5,11th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.3,1653,142,36990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,611,229,32990
ASUS,ASUS Vivobook,Intel Celeron Dual,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1722,283,47990
Apple,Apple MacBook AIR Apple M,AMD Ryzen 5,11th Gen,Mac OS Operating System,8 GB,256,34.54,1,Metallic Black,4.7,690,210,84990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Black,4.3,342,304,33990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Black,4.3,1894,227,39990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,2,Metallic Black,4,1002,150,42990
DELL,DELL Inspiron,Intel Core i7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.2,1116,281,35990
HP,HP Backlit Intel Core i,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1697,243,49990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.2,391,245,52990
Lenovo,Lenovo IdeaPad Slim,Intel Core i7,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.1,1564,234,49690
MSI,MSI Modern,Intel Core i7,14th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Grey,4.3,1705,144,32990
DELL,DELL Inspiron,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,998,263,43800
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.3,1962,268,44990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,902,321,47990
MSI,MSI Modern,Intel Core i3,11th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Metallic Black,4.3,950,141,36990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Silver,4.2,1247,332,36990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,298,234,47990
ASUS,ASUS Vivobook,Intel Core i5,13th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Grey,4.3,1575,114,40990
HP,HP Victus Intel Core i,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.4,1130,159,58990
