Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.2,1640,256,52990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Grey,4.1,1205,285,49690
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.4,1728,169,76190
DELL,DELL Inspiron,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1701,305,43800
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.3,758,249,44990
MSI,MSI Modern,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Grey,4.3,1025,345,32990
MSI,MSI Thin,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Metallic Black,4.3,284,105,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,100.63,2,Silver,4.2,455,125,36990
ASUS,ASUS Vivobook,Intel Celeron Dual,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.2,1354,266,47990
ASUS,ASUS Vivobook,Intel Core i7,13th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Blue,4.3,1835,239,40990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Grey,4.4,1661,198,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Grey,4.5,1275,241,85690
HP,HP Omen AMD Ryzen,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Black,4.7,1271,121,102990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,1663,150,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Metallic Black,4.5,1379,275,119990
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.3,1750,298,36990
MSI,MSI Thin,Intel Core i7,14th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,952,203,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.5,651,277,75990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.4,979,188,55990
ASUS,ASUS TUF Gaming F,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,43.94,2,Metallic Black,4.3,1829,240,57990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,11th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Grey,4.4,411,312,104990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.2,451,332,32990
MSI,MSI Crosshair,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Black,4.1,1245,237,140990
MSI,MSI Thin,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.3,519,344,49990
HP,HP Intel Core i,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.2,1065,282,53990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Metallic Black,4.2,1544,350,29990
Acer,Acer One Intel Core i,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.2,705,108,28990
Lenovo,Lenovo IdeaPad Slim,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Black,4.1,1735,178,49690
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.3,2000,151,36990
Acer,Acer Swift Go,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,1525,229,59990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Black,4.7,1266,252,84990
